type;n;swaps;cmps
insertion;50;701;750
insertion;50;570;619
insertion;50;568;617
insertion;50;619;668
insertion;50;658;707
insertion;50;619;668
insertion;50;622;671
insertion;50;584;633
insertion;50;596;645
insertion;50;594;643
insertion;50;607;656
insertion;50;607;656
insertion;50;544;593
insertion;50;597;646
insertion;50;571;620
insertion;50;648;697
insertion;50;667;716
insertion;50;625;674
insertion;50;578;627
insertion;50;623;672
insertion;50;618;667
insertion;50;539;588
insertion;50;581;630
insertion;50;479;528
insertion;50;576;625
insertion;50;531;580
insertion;60;894;953
insertion;60;896;955
insertion;60;636;695
insertion;60;881;940
insertion;60;894;953
insertion;60;816;875
insertion;60;846;905
insertion;60;756;815
insertion;60;905;964
insertion;60;983;1042
insertion;60;726;785
insertion;60;984;1043
insertion;60;827;886
insertion;60;735;794
insertion;60;885;944
insertion;60;957;1016
insertion;60;856;915
insertion;60;829;888
insertion;60;873;932
insertion;60;851;910
insertion;60;957;1016
insertion;60;867;926
insertion;60;941;1000
insertion;60;924;983
insertion;60;832;891
insertion;60;820;879
insertion;60;1000;1059
insertion;60;871;930
insertion;60;839;898
insertion;60;905;964
insertion;60;908;967
insertion;60;876;935
insertion;60;807;866
insertion;60;842;901
insertion;60;892;951
insertion;60;918;977
insertion;60;1006;1065
insertion;60;935;994
insertion;60;883;942
insertion;60;788;847
insertion;60;919;978
insertion;60;791;850
insertion;60;863;922
insertion;60;810;869
insertion;60;914;973
insertion;60;1005;1064
insertion;60;831;890
insertion;60;866;925
insertion;60;830;889
insertion;60;964;1023
insertion;60;760;819
insertion;60;861;920
insertion;60;855;914
insertion;60;876;935
insertion;60;882;941
insertion;60;972;1031
insertion;60;834;893
insertion;60;886;945
insertion;60;910;969
insertion;60;954;1013
insertion;60;884;943
insertion;60;960;1019
insertion;60;863;922
insertion;60;910;969
insertion;60;852;911
insertion;60;836;895
insertion;60;912;971
insertion;60;790;849
insertion;60;934;993
insertion;60;988;1047
insertion;60;934;993
insertion;60;706;765
insertion;60;750;809
insertion;60;772;831
insertion;60;813;872
insertion;60;919;978
insertion;60;944;1003
insertion;60;807;866
insertion;60;804;863
insertion;60;769;828
insertion;60;872;931
insertion;60;924;983
insertion;60;936;995
insertion;60;801;860
insertion;60;957;1016
insertion;60;872;931
insertion;60;991;1050
insertion;60;971;1030
insertion;60;962;1021
insertion;60;796;855
insertion;60;791;850
insertion;60;942;1001
insertion;60;947;1006
insertion;60;724;783
insertion;60;837;896
insertion;60;878;937
insertion;60;821;880
insertion;60;720;779
insertion;60;998;1057
insertion;60;952;1011
insertion;70;959;1028
insertion;70;1089;1158
insertion;70;1173;1242
insertion;70;1423;1492
insertion;70;1233;1302
insertion;70;1090;1159
insertion;70;1039;1108
insertion;70;1390;1459
insertion;70;1149;1218
insertion;70;1201;1270
insertion;70;1243;1312
insertion;70;1124;1193
insertion;70;1124;1193
insertion;70;1227;1296
insertion;70;1222;1291
insertion;70;1145;1214
insertion;70;1243;1312
insertion;70;1253;1322
insertion;70;1184;1253
insertion;70;1322;1391
insertion;70;1202;1271
insertion;70;1256;1325
insertion;70;1150;1219
insertion;70;1293;1362
insertion;70;1316;1385
insertion;70;1199;1268
insertion;70;1223;1292
insertion;70;1087;1156
insertion;70;1180;1249
insertion;70;1106;1175
insertion;70;1263;1332
insertion;70;1052;1121
insertion;70;1156;1225
insertion;70;1074;1143
insertion;70;1116;1185
insertion;70;1121;1190
insertion;70;1213;1282
insertion;70;1277;1346
insertion;70;1012;1081
insertion;70;1235;1304
insertion;70;1318;1387
insertion;70;1174;1243
insertion;70;1182;1251
insertion;70;1402;1471
insertion;70;1327;1396
insertion;70;1363;1432
insertion;70;1255;1324
insertion;70;1264;1333
insertion;70;1143;1212
insertion;70;1205;1274
insertion;70;1178;1247
insertion;70;1215;1284
insertion;70;1170;1239
insertion;70;1267;1336
insertion;70;1236;1305
insertion;70;1197;1266
insertion;70;1183;1252
insertion;70;1303;1372
insertion;70;1102;1171
insertion;70;1207;1276
insertion;70;1149;1218
insertion;70;1252;1321
insertion;70;1166;1235
insertion;70;1286;1355
insertion;70;1111;1180
insertion;70;1116;1185
insertion;70;1300;1369
insertion;70;1203;1272
insertion;70;1141;1210
insertion;70;1009;1078
insertion;70;1188;1257
insertion;70;1231;1300
insertion;70;1303;1372
insertion;70;1310;1379
insertion;70;1186;1255
insertion;70;1151;1220
insertion;70;1141;1210
insertion;70;1293;1362
insertion;70;1085;1154
insertion;70;1156;1225
insertion;70;1322;1391
insertion;70;1068;1137
insertion;70;1127;1196
insertion;70;1297;1366
insertion;70;1213;1282
insertion;70;1014;1083
insertion;70;1551;1620
insertion;70;1092;1161
insertion;70;1280;1349
insertion;70;1157;1226
insertion;70;1158;1227
insertion;70;1141;1210
insertion;70;1305;1374
insertion;70;1270;1339
insertion;70;1179;1248
insertion;70;1377;1446
insertion;70;1329;1398
insertion;70;1391;1460
insertion;70;1255;1324
insertion;70;1232;1301
insertion;80;1577;1656
insertion;80;1376;1455
insertion;80;1532;1611
insertion;80;1689;1768
insertion;80;1761;1840
insertion;80;1665;1744
insertion;80;1595;1674
insertion;80;1567;1646
insertion;80;1797;1876
insertion;80;1669;1748
insertion;80;1642;1721
insertion;80;1519;1598
insertion;80;1645;1724
insertion;80;1542;1621
insertion;80;1689;1768
insertion;80;1672;1751
insertion;80;1625;1704
insertion;80;1569;1648
insertion;80;1476;1555
insertion;80;1666;1745
insertion;80;1461;1540
insertion;80;1487;1566
insertion;80;1758;1837
insertion;80;1591;1670
insertion;80;1438;1517
insertion;80;1545;1624
insertion;80;1370;1449
insertion;80;1669;1748
insertion;80;1596;1675
insertion;80;1736;1815
insertion;80;1559;1638
insertion;80;1715;1794
insertion;80;1522;1601
insertion;80;1625;1704
insertion;80;1256;1335
insertion;80;1529;1608
insertion;80;1483;1562
insertion;80;1612;1691
insertion;80;1527;1606
insertion;80;1328;1407
insertion;80;1363;1442
insertion;80;1511;1590
insertion;80;1493;1572
insertion;80;1585;1664
insertion;80;1689;1768
insertion;80;1357;1436
insertion;80;1543;1622
insertion;80;1528;1607
insertion;80;1137;1216
insertion;80;1666;1745
insertion;80;1680;1759
insertion;80;1656;1735
insertion;80;1579;1658
insertion;80;1417;1496
insertion;80;1645;1724
insertion;80;1587;1666
insertion;80;1566;1645
insertion;80;1553;1632
insertion;80;1709;1788
insertion;80;1743;1822
insertion;80;1705;1784
insertion;80;1764;1843
insertion;80;1575;1654
insertion;80;1736;1815
insertion;80;1462;1541
insertion;80;1761;1840
insertion;80;1757;1836
insertion;80;1467;1546
insertion;80;1546;1625
insertion;80;1488;1567
insertion;80;1588;1667
insertion;80;1583;1662
insertion;80;1487;1566
insertion;80;1462;1541
insertion;80;1674;1753
insertion;80;1699;1778
insertion;80;1650;1729
insertion;80;1713;1792
insertion;80;1510;1589
insertion;80;1704;1783
insertion;80;1238;1317
insertion;80;1687;1766
insertion;80;1344;1423
insertion;80;1511;1590
insertion;80;1477;1556
insertion;80;1578;1657
insertion;80;1337;1416
insertion;80;1488;1567
insertion;80;1614;1693
insertion;80;1275;1354
insertion;80;1313;1392
insertion;80;1719;1798
insertion;80;1553;1632
insertion;80;1559;1638
insertion;80;1588;1667
insertion;80;1702;1781
insertion;80;1413;1492
insertion;80;1564;1643
insertion;80;1411;1490
insertion;80;1646;1725
insertion;90;1889;1978
insertion;90;2151;2240
insertion;90;2032;2121
insertion;90;1993;2082
insertion;90;2312;2401
insertion;90;1749;1838
insertion;90;2020;2109
insertion;90;1849;1938
insertion;90;1993;2082
insertion;90;1683;1772
insertion;90;2291;2380
insertion;90;2134;2223
insertion;90;1940;2029
insertion;90;1745;1834
insertion;90;2131;2220
insertion;90;2001;2090
insertion;90;2183;2272
insertion;90;1870;1959
insertion;90;1939;2028
insertion;90;1925;2014
insertion;90;1878;1967
insertion;90;1949;2038
insertion;90;2081;2170
insertion;90;2038;2127
insertion;90;1834;1923
insertion;90;1964;2053
insertion;90;2087;2176
insertion;90;2041;2130
insertion;90;2055;2144
insertion;90;2028;2117
insertion;90;1802;1891
insertion;90;2101;2190
insertion;90;2090;2179
insertion;90;2362;2451
insertion;90;2108;2197
insertion;90;2015;2104
insertion;90;1909;1998
insertion;90;1982;2071
insertion;90;1730;1819
insertion;90;1975;2064
insertion;90;1862;1951
insertion;90;1954;2043
insertion;90;2116;2205
insertion;90;1963;2052
insertion;90;2053;2142
insertion;90;2384;2473
insertion;90;2090;2179
insertion;90;1909;1998
insertion;90;2114;2203
insertion;90;2014;2103
insertion;90;2079;2168
insertion;90;1962;2051
insertion;90;2054;2143
insertion;90;2044;2133
insertion;90;2114;2203
insertion;90;1911;2000
insertion;90;2124;2213
insertion;90;2140;2229
insertion;90;1883;1972
insertion;90;1917;2006
insertion;90;1850;1939
insertion;90;2213;2302
insertion;90;1921;2010
insertion;90;1889;1978
insertion;90;1811;1900
insertion;90;1937;2026
insertion;90;1885;1974
insertion;90;1890;1979
insertion;90;1857;1946
insertion;90;2080;2169
insertion;90;2066;2155
insertion;90;2034;2123
insertion;90;2168;2257
insertion;90;2055;2144
insertion;90;2025;2114
insertion;90;2160;2249
insertion;90;2150;2239
insertion;90;2096;2185
insertion;90;2163;2252
insertion;90;1917;2006
insertion;90;1749;1838
insertion;90;2170;2259
insertion;90;2241;2330
insertion;90;1920;2009
insertion;90;2061;2150
insertion;90;2009;2098
insertion;90;2070;2159
insertion;90;1999;2088
insertion;90;2095;2184
insertion;90;2064;2153
insertion;90;1822;1911
insertion;90;2298;2387
insertion;90;1938;2027
insertion;90;1957;2046
insertion;90;2069;2158
insertion;90;1906;1995
insertion;90;2401;2490
insertion;90;1942;2031
